dimension,indicator,as_of_date,latest_date,effective_date,latest_value,signal_score,usable_current_score,signal_text,replication_level,data_age_days,is_stale,aggregation_eligible,note
流动性,SHIBOR 1W,2026-08-07,2026-08-06,2026-08-07,1.4106266666666667,1.0,1.0,看多：短端资金处于历史低位,可按公开规则复现,0.0,False,True,
流动性,DR007偏离度,2026-08-07,2026-08-06,2026-08-07,1.434,1.0,,代理看多：DR007水平处于历史低位,代理,0.0,False,False,缺少7天逆回购利率历史序列；2022年前序列是SHIBOR加固定利差，不独立、不得与SHIBOR重复计分。
流动性,M1同比,2026-08-07,2026-06-30,2026-07-21,4.0,-1.0,-1.0,看空：M1同比下行,可按公开规则复现,17.0,False,True,
流动性,M1同比-PPI同比,2026-08-07,2026-06-30,2026-07-21,-0.09999999999999964,-1.0,-1.0,看空：剪刀差下行,可按公开规则复现,17.0,False,True,
流动性,M2同比-名义GDP增速,2026-08-07,2026-07-31,2026-08-03,2.5681943001380754,1.0,1.0,看多：M2增速高于名义GDP增速,可复现；GDP发布日期采用保守近似,4.0,False,True,
流动性,信贷脉冲,2026-08-07,2026-06-30,2026-07-21,-8.978764873348,0.0,,未触发,代理,17.0,False,False,原研报季调方法未披露；本实现按每个历史时点递归拟合STL，不使用未来月份。
经济面,制造业PMI,2026-08-07,2026-07-31,2026-08-03,49.2,1.0,1.0,看多：PMI趋势上行,可按公开规则复现,4.0,False,True,
经济面,发电量同比,2026-08-07,2026-06-30,2026-07-27,5.3,1.0,,代理看多：用电量趋势上行,代理,11.0,False,False,压缩包提供的是全社会用电量，不是研报的发电量同比。
经济面,通胀方向因子,2026-08-07,2026-06-30,2026-07-21,2.6166666666666663,-1.0,-1.0,看空：通胀方向因子未较3个月前下行（通胀未回落）,可按公开规则复现,17.0,False,True,通胀方向因子=0.5×CPI同比MA3+0.5×PPI同比；较3个月前下行看多(+1)，否则看空(-1)。
经济面,通胀强度因子,2026-08-07,2026-08-07,2026-08-07,1.0620928359448132,-1.0,-1.0,看空：通胀显著超预期（强度因子>+1.5σ），未来60个交易日有效,可按公开规则复现,0.0,False,True,通胀强度因子=CPI/PPI预期差均值（预期=近6月滚动均值代理，σ=预测误差滚动12月σ）；<-1.5σ看多、>+1.5σ看空，覆盖未来60个交易日。
经济面,库存周期,2026-08-07,,,,,,不可计算,缺数据,,True,False,缺少库存景气指数及原模型定义。
经济面,A股景气度指数,2026-08-07,,,,,,不可计算,模型未披露,,True,False,原报告Nowcasting解释变量、参数和训练方法未披露。
估值面,中证800成分股PE_TTM中位数,2026-08-07,,,,,,不可计算,阈值公开；接近阈值缓冲未披露,,True,False,研报在20.43倍时仍按'接近20倍'看多，机械缓冲区未披露。
估值面,中证800股息率,2026-08-07,2026-07-23,2026-07-24,2.33,,,不评分：历史长度及字段定义不足,数据不足,14.0,True,False,只有最近20个交易日，且股息率1/2口径未说明，不能做历史择时。
估值面,中证800 PB,2026-08-07,2026-08-06,2026-08-07,1.56,0.0,,中性,阈值公开；接近阈值缓冲未披露,0.0,False,False,研报在1.5倍时仍按'接近1.4倍'看多，机械缓冲区未披露。
估值面,中证800股权风险溢价,2026-08-07,2026-08-06,2026-08-07,5.039798845545054,0.0,0.0,中性,可按公开规则复现,0.0,False,True,席勒CAPE口径：盈利按CPI链式指数做6年通胀调整，ERP=1/CAPE-10Y国债，6年zscore±1.5σ。
估值面,中证800 DCF估值,2026-08-07,,,,,,不可计算,模型未披露,,True,False,缺ROE衰减、分红率路径、贴现率、长期增长率及估值区间参数。
估值面,AIAE,2026-08-07,,,,,,不可计算,口径不符,,True,False,压缩包提供的是总市值/GDP（巴菲特指标），不是股票/(股票+债券+现金)。
资金面,A股账户新增开户数,2026-08-07,2023-08-31,2023-10-09,99.59,,,未触发,事件可复现；方向未披露,1033.0,True,False,
资金面,两融增量,2026-08-07,2026-08-06,2026-08-07,-559997277.725,-1.0,-1.0,看空：两融增量放缓（120日均增量不高于240日均增量）,可按公开规则复现,0.0,False,True,净两融额=融资余额-融券余额；120日均增量>240日均增量看多，否则看空（120/240窗口为透明设定）。
技术面,均线排列,2026-08-07,2026-08-06,2026-08-07,5194.17,0.0,0.0,未触发多头排列,可按图表公开参数复现,0.0,False,True,
技术面,均线距离,2026-08-07,2026-08-06,2026-08-07,-5.236728467061502,-1.0,,看空：短均线低于长均线3%以上,参数假设,0.0,False,False,研报公开±3%阈值，但未写明长短均线天数；采用数据包的MA10/MA60。
技术面,布林带,2026-08-07,2026-08-06,2026-08-07,5194.17,0.0,,中性：当前未触发,参数假设,0.0,False,False,触发逻辑公开，但研报未披露窗口和倍数；采用MA20±2σ。
技术面,RSI,2026-08-07,2026-08-06,2026-08-07,56.83148250149446,-1.0,,看空状态,算法假设,0.0,False,False,RSI6/24及20/80公开，但平滑算法未披露；采用Wilder算法。
技术面,250日新高占比,2026-08-07,2026-08-06,2026-08-07,0.0,0.0,,代理中性,代理,0.0,False,False,原研报需要全市场股票；压缩包仅有15个行业指数。
技术面,250日新低占比,2026-08-07,2026-08-06,2026-08-07,0.0,0.0,,代理中性,代理,0.0,False,False,原研报需要全市场股票；压缩包仅有15个行业指数。
技术面,成交额+波动率时钟,2026-08-07,2026-08-06,2026-08-07,0.312590745611239,-1.0,,看空：波动上+成交下,透明代理,0.0,False,False,原研报未披露趋势滤波参数；本实现用20/60日均线判断上下行。
情绪面,成交热度,2026-08-07,2026-08-06,2026-08-07,3.3375622009979495,-1.0,,代理看空：成交情绪过热,代理,0.0,False,False,研报使用沪深300成交金额；压缩包的沪深300数据只有成交量，故改用中证800成交额并单独标注。
情绪面,行业分歧度,2026-08-07,2026-08-06,2026-08-07,1.3808962331874748,-1.0,,代理看空：行业分歧较高,代理,0.0,False,False,底层计算不是研报的PCA解释比例，不能视为精确复刻。
