指标,研报值/状态,研报信号,本实现采用的可用数据期,本实现值,本实现信号,方向是否一致,说明
DR007偏离度,低于10%历史分位,看多,2022-07-29,1.8618578165387198,代理看多：DR007水平处于历史低位,,仅DR007水平代理，不能验证原偏离度公式
SHIBOR 1W,低于10%历史分位,看多,2022-07-29,1.7152833333333333,看多：短端资金处于历史低位,True,
M1同比,短均线刚上穿长均线,看多,2022-06-30,5.8,看多：M1同比上行,True,按保守发布日期，使用研报日前可得的最近一期
M1同比-PPI同比,短均线连续两月高于长均线,看多,2022-06-30,-0.2999999999999998,看多：剪刀差上行,True,按两项数据中较晚的保守发布日期生效
M2同比-名义GDP,大于0,看多,2022-07-31,5.27646528470388,看多：M2增速高于名义GDP增速,True,按M2或GDP任一数据新发布时重算，使用当时已知的两项最新值
信贷脉冲,季调环比未超过5%,中性,2022-06-30,26.110743413979232,看多事件：实时递归季调社融环比超过5%,False,递归STL仅使用截至当期历史，仍属于季调代理
制造业PMI,尚未明显上行,看空,2022-07-31,49.0,看空：PMI趋势下行,True,按下一交易日生效口径取研报日前可执行信号
发电量同比,短均线拐头但未确认,看空,2022-06-30,2.9,代理看空：用电量趋势下行,True,数据为全社会用电量代理，不是规模以上工业发电量
CPI同比,中间水平,中性,2022-06-30,2.5,中性,True,
PPI同比,中间水平,中性,2022-06-30,6.1,中性,True,
库存周期,被动补库存,看空,,,不可计算,,缺少库存景气指数及原模型定义
A股景气度指数,景气主跌浪,看空,,,不可计算,,Nowcasting解释变量、参数和训练方法未披露
PE_TTM中位数,20.43倍,看多,,,不可计算,,压缩包序列与研报Wind口径存在差异；接近20倍的缓冲区未披露
中证800股息率,2.44%,看多,,,不可计算,,压缩包只有2026年最近20个交易日
中证800 PB,1.5倍，接近底部,看多,2022-07-29,1.49,中性,False,机械规则仅在PB不高于1.4时看多；研报对接近底部作主观偏多判断
股权风险溢价,1.35倍标准差,看多,2022-07-29,1.565008444915408,看多：股权风险溢价高于1.5个标准差,True,方向可核验，数值受估值和无风险利率口径影响
DCF估值,PE 13.2，略低于合理值,中性,,,不可计算,,模型参数未披露
AIAE,17%，接近底部,看多,,,不可计算,,压缩包只有总市值/GDP，不是AIAE
新增开户数,正常,中性,2022-06-30,133.03,未触发,True,使用研报日前已公布的6月统计值
融资融券余额,上行趋势,看多,2022-07-29,1627471854375.0,代理看空：两融余额下行,False,研报未披露趋势算法；MA60/MA120为透明代理
均线排列,10日下穿30日，不发信号,中性,2022-07-29,4523.31,未触发多头排列,True,
均线距离,阈值内,中性,2022-07-29,1.2380298080562957,震荡,True,研报未披露均线长度
布林带,中间区域,中性,2022-07-29,4523.31,中性：当前未触发,True,
RSI,空头状态,看空,2022-07-29,28.853231880029313,看空状态,True,
250日新高占比,低,中性,2022-07-29,0.0,代理中性,True,行业代理，不是全市场股票
250日新低占比,低,中性,2022-07-29,0.0,代理中性,True,行业代理，不是全市场股票
成交额+波动率时钟,波动下、成交下,看多,2022-07-29,0.13631980882307312,看多/低风险象限,True,趋势滤波参数为透明代理
成交热度,中等位置,中性,2022-07-29,0.754301689240226,中性,True,使用中证800成交额代理沪深300成交额
行业分歧度,中等位置,中性,2022-07-29,,代理中性,,底层不是研报PCA公式
偏股基金仓位,中等偏高，轻度看跌,看空,2022-08-12,0.9315224113811063,代理中性,False,按季度披露日生效；全市场基金资产配置代理
东方财富NLP,低于-1倍标准差,看多,,,不可计算,,缺数据和文本模型
期权CPR,中等偏低，轻度看涨,看多,,,不可计算,,缺认购/认沽成交金额历史
50ETF期权VIX,中等位置,中性,2022-03-30,,中性,True,窗口采用5年滚动假设
50ETF期权SKEW,中等偏低，轻度看涨,看多,,,不可计算,,压缩包SKEW口径错误
